Region,Account,Time,User,CallerIP,ErrorCode,Service,EventName,Resource,SuspiciousCIDRs,PublicIP
us-east-1,696969696969,2025-03-03 20:09:04-07:00,BobtheUser,69.69.69.69,None,ec2,AllocateAddress,"eipalloc-0bb695687191e9562,3.237.54.131",,
us-east-1,696969696969,2025-03-03 20:09:05-07:00,BobtheUser,69.69.69.69,None,ec2,AssociateRouteTable,"rtb-03b76d114f7761326,rtbassoc-02e6a7282c2c210d2,subnet-0623e098938fded2c",,
us-east-1,696969696969,2025-03-03 20:09:05-07:00,BobtheUser,69.69.69.69,None,ec2,AssociateRouteTable,"rtb-0f6e437ae44dcc59d,rtbassoc-08cacee14c9b14f28,subnet-00bf313021c85a412",,
us-east-1,696969696969,2025-03-03 20:09:05-07:00,BobtheUser,69.69.69.69,None,ec2,AssociateRouteTable,"rtb-03b76d114f7761326,rtbassoc-02ea8896ced49ecd5,subnet-08f6619a92000b91c",,
us-east-1,696969696969,2025-03-03 20:09:05-07:00,BobtheUser,69.69.69.69,None,ec2,AssociateRouteTable,"rtb-0f6e437ae44dcc59d,rtbassoc-0cfdd91205ae81f9f,subnet-0db7e7b29a20ae57c",,
us-east-1,696969696969,2025-03-03 20:09:05-07:00,BobtheUser,69.69.69.69,None,ec2,AssociateRouteTable,"rtb-0f6e437ae44dcc59d,rtbassoc-04f053e5a54e4ef0c,subnet-019a54969a40a1552",,
us-east-1,696969696969,2025-03-03 20:09:05-07:00,BobtheUser,69.69.69.69,None,ec2,AssociateRouteTable,"rtb-0f6e437ae44dcc59d,rtbassoc-04ebacb03e8be1620,subnet-081a6a5b0d1935f60",,
us-east-1,696969696969,2025-03-03 20:09:05-07:00,BobtheUser,69.69.69.69,None,ec2,AssociateRouteTable,"rtb-0f6e437ae44dcc59d,rtbassoc-0ff23a3728a7f595a,subnet-06aa7ee4c0ed2dee9",,
us-east-1,696969696969,2025-03-03 20:09:04-07:00,BobtheUser,69.69.69.69,None,ec2,AssociateRouteTable,"rtb-0f6e437ae44dcc59d,rtbassoc-06a99a8ed2a25d17c,subnet-061b941ef0d4d57d4",,
us-east-1,696969696969,2025-03-03 20:08:57-07:00,BobtheUser,69.69.69.69,None,ec2,AttachInternetGateway,"vpc-08983bd2c3e163d4d,igw-0ff9e0eeb55dc1cce",,
us-east-1,696969696969,2025-03-03 20:22:38-07:00,i-05b2fc511aa8ebfb9,10.0.2.119,None,ec2,AttachNetworkInterface,"eni-attach-0ead6108513393def,eni-0623f56a98b91fb2a,i-05b2fc511aa8ebfb9",,
us-east-1,696969696969,2025-03-03 20:09:35-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-0285e02cb97fcf580",,
us-east-1,696969696969,2025-03-03 20:09:35-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:31-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,sg-00881c34627b8e6e8,,
us-east-1,696969696969,2025-03-03 20:09:31-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-077486ae7b6d10ef5",,
us-east-1,696969696969,2025-03-03 20:09:31-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-00881c34627b8e6e8,sg-0285e02cb97fcf580",,
us-east-1,696969696969,2025-03-03 20:09:31-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:31-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:30-07:00,BobtheUser,69.69.69.69,Client.RequestLimitExceeded,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:29-07:00,BobtheUser,69.69.69.69,Client.RequestLimitExceeded,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-077486ae7b6d10ef5",,
us-east-1,696969696969,2025-03-03 20:09:29-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-002e0113055f3e6c9",,
us-east-1,696969696969,2025-03-03 20:09:29-07:00,BobtheUser,69.69.69.69,Client.RequestLimitExceeded,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-0285e02cb97fcf580",,
us-east-1,696969696969,2025-03-03 20:09:29-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:29-07:00,BobtheUser,69.69.69.69,None,ec2,AuthorizeSecurityGroupEgress,"sg-0057510424e0999b7,sg-00881c34627b8e6e8",,
us-east-1,696969696969,2025-03-03 20:09:29-07:00,BobtheUser,69.69.69.69,Client.RequestLimitExceeded,ec2,AuthorizeSecurityGroupEgress,"sg-00881c34627b8e6e8,sg-0285e02cb97fcf580",,
